Time,Intensity
1,1.002327794
2,1.003377412
3,0.996329486
4,1.002043027
5,0.996398676
6,1.003556813
7,1.004123086
8,1.005551966
9,1.002968793
10,0.999116473
11,1.003156299
12,1.001529535
13,0.997864424
14,1.002666629
15,1.002309508
16,1.000859378
17,1.003213332
18,1.003341729
19,1.000296662
20,0.997803339
21,1.002370099
22,1.00161207
23,1.000425455
24,1.000592006
25,1.000187638
26,1.006251085
27,1.002722179
28,0.999622551
29,0.996064388
30,1.003947738
31,1.001264734
32,1.001656945
33,1.002749164
34,1.000674442
35,0.996966333
36,0.999780305
37,1.001072187
38,0.995469351
39,1.001308028
40,1.001893773
41,0.9934142
42,0.997020796
43,1.000132681
44,1.000867483
45,0.999631644
46,1.00184791
47,0.99910728
48,0.999904551
49,1.000836446
50,0.998449676
51,0.997381574
52,0.998232912
53,0.99543782
54,0.997658336
55,0.998785644
56,0.998398771
57,1.000924021
58,0.99946114
59,0.994688785
60.305,0.994625723
61.305,0.991005585
62.305,0.99672219
63.305,0.753844022
64.305,0.750071539
65.305,0.750121522
66.305,0.748031258
67.305,0.748565423
68.305,0.734702071
69.305,0.730997617
70.305,0.725292209
71.305,0.728116872
72.305,0.714060767
73.305,0.7149372
74.305,0.712275062
75.305,0.701213773
76.305,0.68879227
77.305,0.684885343
78.305,0.680101841
79.305,0.67286548
80.305,0.664699679
81.305,0.670045185
82.305,0.67642152
83.305,0.677797652
84.305,0.674829947
85.305,0.653731396
86.305,0.664941334
87.305,0.661225152
88.305,0.661072971
89.305,0.660573925
90.305,0.664727709
91.305,0.653547367
92.305,0.657208119
93.305,0.65415539
94.305,0.653678791
95.305,0.652838328
96.305,0.650771591
97.305,0.651292462
98.305,0.633018781
99.305,0.647603554
100.305,0.636290407
101.305,0.640930823
102.305,0.643162843
103.305,0.644475706
104.305,0.633270343
105.305,0.642133646
106.305,0.643422867
107.305,0.636388975
108.305,0.644210475
109.305,0.647199499
110.305,0.642652506
111.305,0.645371282
112.305,0.641297321
113.305,0.64458067
114.305,0.641578915
115.305,0.636879308
116.305,0.642938745
117.305,0.623095185
118.305,0.638912306
119.305,0.638606384
120.305,0.647402655
121.305,0.642254536
122.305,0.640244607
123.305,0.644754607
124.305,0.639364205
125.305,0.639545977
126.305,0.629624197
127.305,0.644644501
128.305,0.638461667
129.305,0.634253893
130.305,0.638914062
131.305,0.642398185
132.305,0.63549208
133.305,0.640044587
134.305,0.627912672
135.305,0.638032717
136.305,0.62705089
137.305,0.642114835
138.305,0.639206321
139.305,0.630415878
140.305,0.636173089
141.305,0.623920474
142.305,0.643160521
143.305,0.637432906
144.305,0.634240224
145.305,0.635925414
146.305,0.636955615
147.305,0.637947818
148.305,0.641579542
149.305,0.629200519
150.305,0.637394722
151.305,0.637841851
152.305,0.640298155
153.305,0.640301606
154.305,0.637873769
155.305,0.640254329
156.305,0.629605452
157.305,0.637687477
158.305,0.627435757
159.305,0.633783123
160.305,0.640751308
161.305,0.631039892
162.305,0.637123597
163.305,0.641475772
164.305,0.640197897
165.305,0.644236118
166.305,0.641102376
167.305,0.645237225
168.305,0.643042515
169.305,0.634330139
170.305,0.63992031
171.305,0.633598718
172.305,0.640381991
173.305,0.641077862
174.305,0.642781362
175.305,0.64807332
176.305,0.644288035
177.305,0.646272758
